Country;CommodityCode;Grandeza;CÓDIGO DATAGRO
Bosnia and Herzegovina;440000;BeginningStocks;COR_BA
Bosnia and Herzegovina;813100;BeginningStocks;SBM_BA
Bosnia and Herzegovina;813500;BeginningStocks;SFM_BA
Bosnia and Herzegovina;2222000;BeginningStocks;SBS_BA
Bosnia and Herzegovina;2224000;BeginningStocks;SFS_BA
Bosnia and Herzegovina;4232000;BeginningStocks;SBO_BA
Bosnia and Herzegovina;4236000;BeginningStocks;SFO_BA
Brazil;410000;BeginningStocks;WHT_BR
Brazil;440000;BeginningStocks;COR_BR
Brazil;813100;BeginningStocks;SBM_BR
Brazil;813300;BeginningStocks;CTM_BR
Brazil;2221000;BeginningStocks;PNS_BR
Brazil;2222000;BeginningStocks;SBS_BR
Brazil;2223000;BeginningStocks;CTS_BR
Brazil;2224000;BeginningStocks;SFS_BR
Brazil;4232000;BeginningStocks;SBO_BR
Brazil;4233000;BeginningStocks;CTO_BR
Brazil;4234000;BeginningStocks;PNO_BR
Brazil;4235000;BeginningStocks;OLO_BR
Brazil;4236000;BeginningStocks;SFO_BR
Brazil;4243000;BeginningStocks;PAO_BR
Burkina Faso;410000;BeginningStocks;WHT_BF
Burkina Faso;440000;BeginningStocks;COR_BF
Burkina Faso;2221000;BeginningStocks;PNS_BF
Burkina Faso;2223000;BeginningStocks;CTS_BF
Burma;410000;BeginningStocks;WHT_MM
Burma;440000;BeginningStocks;COR_MM
Burma;813100;BeginningStocks;SBM_MM
Burma;813200;BeginningStocks;PNM_MM
Burma;2221000;BeginningStocks;PNS_MM
Burma;2224000;BeginningStocks;SFS_MM
Burma;4234000;BeginningStocks;PNO_MM
Burma;4243000;BeginningStocks;PAO_MM
Cambodia;440000;BeginningStocks;COR_KH
Cambodia;813100;BeginningStocks;SBM_KH
Cameroon;410000;BeginningStocks;WHT_CM
Cameroon;440000;BeginningStocks;COR_CM
Cameroon;2223000;BeginningStocks;CTS_CM
Cameroon;4243000;BeginningStocks;PAO_CM
Canada;410000;BeginningStocks;WHT_CA
Canada;440000;BeginningStocks;COR_CA
Canada;813100;BeginningStocks;SBM_CA
Canada;813600;BeginningStocks;RPM_CA
Canada;814200;BeginningStocks;FIM_CA
Canada;2221000;BeginningStocks;PNS_CA
