CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO,NO_NCM_POR,SG_UNID,NO_PAIS,NO_UF,NO_REGIAO,NO_VIA,NO_URF
2016,9,11010010,10,607,RJ,1,717600,6500,6500,2746,1607,0,Farinha de trigo,KGL  ,Portugal,Rio de Janeiro,REGIAO SUDESTE,MARITIMA,0717600 - PORTO DO RIO DE JANEIRO
2016,2,11010010,10,386,RO,1,817800,20000,20000,11633,2220,0,Farinha de trigo,KGL  ,Itália,Rondônia,REGIAO NORTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,1,11010010,10,87,AP,1,217600,225000,225000,88912,17492,490,Farinha de trigo,KGL  ,Bélgica,Amapá,REGIAO NORTE,MARITIMA,0217600 - PORTO DE BELEM
2016,4,10019900,10,63,BA,1,517600,15849000,15849000,2759633,223471,2910,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Bahia,REGIAO NORDESTE,MARITIMA,0517600 - PORTO DE SALVADOR
2016,7,10019900,10,160,SC,1,927800,300,300,2190,207,10,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,China,Santa Catarina,REGIAO SUL,MARITIMA,0927800 - ITAJAI
2016,4,11010010,10,160,SC,1,927700,14140,14140,14175,150,27,Farinha de trigo,KGL  ,China,Santa Catarina,REGIAO SUL,MARITIMA,0927700 - PORTO DE SAO FRANCISCO DO SUL
2016,8,10051000,10,63,SP,7,1010900,22715,22715,145685,3350,125,Milho para semeadura,KGL  ,Argentina,São Paulo,REGIAO SUDESTE,RODOVIARIA,1010900 - URUGUAIANA
2016,10,15079019,21,573,RJ,4,717700,760,760,2643,3800,1,"Óleo de soja, refinado, em recipientes com capacidade menor que 5 litros",TML  ,Países Baixos (Holanda),Rio de Janeiro,REGIAO SUDESTE,AEREA,0717700 - AEROPORTO INTERNACIONAL DO RIO DE JANEIRO
2016,10,10059010,10,63,SC,1,925251,90233333,90233333,16494093,1262133,19337,"Milho em grão, exceto para semeadura",KGL  ,Argentina,Santa Catarina,REGIAO SUL,MARITIMA,0925251 - IMBITUBA
2016,9,10019900,10,249,PA,1,217600,6300000,6300000,1153662,106596,1508,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,Pará,REGIAO NORTE,MARITIMA,0217600 - PORTO DE BELEM
2016,9,11010010,10,63,RS,7,1010951,156000,156000,45630,5700,0,Farinha de trigo,KGL  ,Argentina,Rio Grande do Sul,REGIAO SUL,RODOVIARIA,1010951 - ITAQUI
2016,10,11010010,10,845,RJ,7,1010252,54912,54912,17572,1073,0,Farinha de trigo,KGL  ,Uruguai,Rio de Janeiro,REGIAO SUDESTE,RODOVIARIA,1010252 - JAGUARAO
2016,8,11010010,10,845,RS,7,1015600,400968,400968,126738,9804,0,Farinha de trigo,KGL  ,Uruguai,Rio Grande do Sul,REGIAO SUL,RODOVIARIA,1015600 - SANTANA DO LIVRAMENTO
2016,5,11010010,10,63,PR,7,910600,8378800,8378800,2364503,421360,511,Farinha de trigo,KGL  ,Argentina,Paraná,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,4,11010010,10,63,ES,1,927700,225000,225000,53501,14014,0,Farinha de trigo,KGL  ,Argentina,Espírito Santo,REGIAO SUDESTE,MARITIMA,0927700 - PORTO DE SAO FRANCISCO DO SUL
2016,9,10019900,10,586,SC,7,910600,19569990,19569990,3495198,300270,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Santa Catarina,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,3,11010010,10,63,SP,7,920351,81000,81000,24405,3600,0,Farinha de trigo,KGL  ,Argentina,São Paulo,REGIAO SUDESTE,RODOVIARIA,0920351 - DIONISIO CERQUEIRA
2016,4,11010010,10,63,SP,7,910600,1815400,1815400,534524,77781,57,Farinha de trigo,KGL  ,Argentina,São Paulo,REGIAO SUDESTE,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,7,11010010,10,63,GO,7,910600,84000,84000,29820,1800,0,Farinha de trigo,KGL  ,Argentina,Goiás,REGIAO CENTRO OESTE,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,11,10019900,10,586,SC,7,910652,1000000,1000000,150000,12000,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Santa Catarina,REGIAO SUL,RODOVIARIA,0910652 - SANTA HELENA
2016,11,10059010,10,586,SC,7,910600,28500000,28500000,4464700,374655,2971,"Milho em grão, exceto para semeadura",KGL  ,Paraguai,Santa Catarina,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,3,11010010,10,386,RJ,1,717600,152800,152800,85250,10427,0,Farinha de trigo,KGL  ,Itália,Rio de Janeiro,REGIAO SUDESTE,MARITIMA,0717600 - PORTO DO RIO DE JANEIRO
2016,10,10019900,10,249,PB,1,430151,15985460,15985460,2941715,258165,1418,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,Paraíba,REGIAO NORDESTE,MARITIMA,0430151 - CABEDELO
2016,4,11010010,10,275,SP,1,817800,22000,22000,13035,2270,85,Farinha de trigo,KGL  ,França,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,1,11010010,10,63,MG,7,1010900,22000,22000,18634,1902,52,Farinha de trigo,KGL  ,Argentina,Minas Gerais,REGIAO SUDESTE,RODOVIARIA,1010900 - URUGUAIANA
2016,12,10051000,10,63,SP,4,817700,560,560,5085,676,2,Milho para semeadura,KGL  ,Argentina,São Paulo,REGIAO SUDESTE,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS
2016,9,10019900,10,249,PE,1,415100,10500000,10500000,2065980,330919,1159,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,Pernambuco,REGIAO NORDESTE,MARITIMA,0415100 - IRF/RECIFE
2016,5,10019900,10,63,AM,1,227600,9000000,9000000,1711134,285930,2378,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Amazonas,REGIAO NORTE,MARITIMA,0227600 - PORTO DE MANAUS
2016,9,10059010,10,63,PB,1,415100,27700000,27700000,4856100,652781,0,"Milho em grão, exceto para semeadura",KGL  ,Argentina,Paraíba,REGIAO NORDESTE,MARITIMA,0415100 - IRF/RECIFE
